"TaskId","Title","Bucket","Priority","ETA","Owner","DependsOn","Checklist","Description"
"ACT-003","Patch AtualizarTarefa skip semantics","P0 Blockers","Urgent","2h","Codex","Local source package/edit scope","Normalize nao/nao/n/blank; Preserve DataFim/Responsavel/Prioridade/Horas; Return controlled error on invalid input","Fix BLK-AT-001 so skipped optional fields preserve current values and do not send invalid values to SharePoint."
"ACT-003-T","Add AtualizarTarefa skip regression","P0 Blockers","Urgent","45m","Codex","ACT-003","Test fails before fix; Test passes after fix; Covered in stop-ship audit or dedicated test","Add a local PowerShell regression for skip semantics before runtime retest."
"CMD-13A","Runtime retest AtualizarTarefa skip path","P0 Blockers","Urgent","20m","Manoel + Codex","ACT-003, import/publish","Use skip answers; No FlowActionBadGateway; Existing values preserved","Retest the exact failed path that produced FlowActionBadGateway NoResponse."
"CMD-12-H","Verify deleted task hidden from ListarTarefas","Runtime Smoke","Urgent","10m","Manoel","CMD-14 passed","Run listar tarefas; Task 13 absent; Active list ignores Deleted=true","Confirms soft-deleted task no longer appears in active project scope."
"SP-AUDIT","Verify soft-delete audit fields","Runtime Smoke","Urgent","15m","Codex/Owner","CMD-14 passed","Deleted=true; DeletedReason present; DeletedAt present; DeletedByUPN present","Read-only SharePoint verification that the physical row remains for audit."
"CMD-09","Retest invalid UPN validation","Runtime Smoke","Urgent","15m","Manoel","Published 3.4 or later","Invalid UPN rejected; No flow internal server error; No decision row created","Proves PedirDecisao validates approver before invoking the flow."
"CMD-08","Retest valid PedirDecisao","Runtime Smoke","High","15m","Manoel","CMD-09","Valid UPN accepted; Confirmation sim; Decision row pending; Card posted","Validates the positive decision request path after invalid-path guard."
"CMD-15","Recheck ConsultarPortfolio totals","Runtime Smoke","High","10m","Manoel","Task CRUD verification","Run consultar portfolio; Compare totals to active non-deleted SharePoint records","Final portfolio read check after task create/update/delete mutations."
"CMD-10","Resolve AtualizarStatus multiline criteria","Runtime Smoke","High","2h fix / 30m decision","Product owner + Codex","Product decision","Structured fields populated or limitation accepted; Evidence recorded","Either fix parser extraction or document reduced acceptance criteria."
"LOCAL-FULL","Run full local static regression suite","Local Regression","High","45m","Codex","ACT-003 and parser changes","P0 contracts pass; P24 contracts pass; Stop-ship audit pass; Content-safe tests pass","Run the full relevant tests before any owner import/publish."
"CARD-01","Validate decision board adaptive card actions","Adaptive Cards","Medium","30m","Owner + Codex","Decision card available","Approve works; Reject works; Defer works; ResponseSource and CardVersion update","Current-cycle evidence for PMO_PA_RegistrarDecisaoBoard."
"CARD-02","Validate CheckInOnDemand adaptive card submit","Adaptive Cards","Medium","25m","Owner + Codex","Active project","Card submits; Status Diario row created; Projetos updated","Current-cycle proof for on-demand check-in card."
"CARD-03","Decide canonical check-in flow","Adaptive Cards","Medium","30m","Product owner","Flow inventory review","Decision recorded; Runbook updated; Release checklist aligned","Decide if stopped ProcessarRespostaCheckIn remains canonical or is replaced by CheckInOnDemand."
"CARD-04","Validate scheduled EnviarCheckInDiario","Adaptive Cards","Medium","35m","Owner + Codex","CARD-03","Scheduled card arrives; Submit writes SharePoint; Evidence captured","Proves the daily scheduled check-in path."
"CARD-05","Validate AlertaProjetoVermelho E2E","Adaptive Cards","Medium","30m","Owner + Codex","Controlled test project","Set RAG Vermelho; Single Teams alert posted; Data matches project","Closes GAP-C4 evidence."
"CARD-06","Validate EscalarRiscoCritico E2E","Adaptive Cards","Medium","25m","Owner + Codex","Active project","Critical risk posts alert; Non-critical does not escalate","Proves risk escalation card behavior."
"CARD-07","Capture ResumoDiarioBoard evidence","Adaptive Cards","Medium","20m","Owner + Codex","Current SharePoint data","Daily card renders; Totals match SharePoint","Current-cycle evidence for daily board card."
"CARD-08","Capture ResumoSemanal evidence","Adaptive Cards","Medium","20m","Owner + Codex","Current SharePoint data","Weekly card renders; Data matches SharePoint","Current-cycle evidence for weekly board card."
"PLN-01","Validate Planner Standard sync","Planner Sync","Medium","45m","Owner + Codex","Valid PlannerGroupId and PlannerPlanId","Planner List tasks action runs; Metrics update Projetos; Errors recorded if any","Closes Planner sync evidence gap using Planner Basic and standard connector."
"GAP-C1","Resolve ghost Copilot components","Release/Admin Decisions","Medium","30m","Admin/Product owner","Discovery report","Components cleaned or risk accepted; Evidence logged","Admin cleanup or formal acceptance is required for release hygiene."
"REQ-14","Final CriarProjeto contract validation","Release/Admin Decisions","Urgent","25m","Manoel + Codex","Candidate imported/published","Creates only Projetos; ProjectID generated; Duplicate guard; Confirmation required","Release-critical validation for project creation contract."
"REQ-15","Final CriarTarefa contract validation","Release/Admin Decisions","Urgent","25m","Manoel + Codex","Active project","Creates only Tarefas; Links active project; No write to Projetos","Release-critical validation for task creation contract."
"REQ-16","Final Gerar_Multiplos_Projetos validation","Release/Admin Decisions","Urgent","40m","Manoel + Codex","Candidate imported/published","Adaptive Card preview; Multiline fallback; Max 10/10; Per-row result","Release-critical validation for batch project/task creation."
