Bucket,TaskID,Fase,Atividade,Owner,Agente_Suporte,Status,Prioridade,Depende_De,Tempo_Estimado,Inicio_Real,Fim_Real,Bloqueador,Evidencia_Path,Acao_Imediata
"PM0 INCIDENT AUDIT","PM0-AUDIT-ALPHA","SEV-0 RCA","Codex #1 Alpha audit + final merge lane completed after AQ-09 A1 FAIL","Codex #1","Alpha A1/A2/A3 + Bravo B1/B2/B3","DONE","SEV-0","Mandatory reading gate","local audit","2026-05-22 15:19","2026-05-22 15:33","Owner containment decision pending",".planning/comms/codex_pm0_audit_20260522/","Owner chooses rollback, fix-and-ship, or hybrid"
"DONE - AQ-08 Wave","UNBLK-01","Phase 5 (M2) - Topic Update","Owner editou AtualizarStatus para PM0_PA_Card_AtualizarStatus","Owner (Manoel)","Opus 4.7","DONE","P0-CRITICAL","NONE","20min","2026-05-22 ~08:00","2026-05-22 ~08:05","-","drift_monitoring_20260522_0816/T+5min/aq08_post_remediation_reverify_report.json","Concluido"
"DONE - AQ-08 Wave","UNBLK-02","Phase 5 (M2) - Topic Update","Owner editou AtualizarTarefa para PM0_PA_Card_AtualizarTarefa","Owner (Manoel)","Opus 4.7","DONE","P0-CRITICAL","UNBLK-01","20min","2026-05-22 ~08:05","2026-05-22 ~08:08","-","drift_monitoring_20260522_0816/T+5min/","Concluido"
"DONE - AQ-08 Wave","UNBLK-03","Phase 5 (M2) - Topic Update","Owner editou ConsultarPortfolio para PM0_PA_Card_ResumoExecutivoPortfolio","Owner (Manoel)","Opus 4.7","DONE","P0-CRITICAL","UNBLK-02","20min","2026-05-22 ~08:08","2026-05-22 ~08:11","-","drift_monitoring_20260522_0816/T+5min/","Concluido"
"DONE - AQ-08 Wave","UNBLK-04","Phase 5 (M2) - Topic Update","Owner editou CriarTarefa para PM0_PA_Card_CriarTarefa","Owner (Manoel)","Opus 4.7","DONE","P0-CRITICAL","UNBLK-03","20min","2026-05-22 ~08:11","2026-05-22 ~08:13","-","drift_monitoring_20260522_0816/T+5min/","Concluido"
"DONE - AQ-08 Wave","UNBLK-05","Phase 5 (M2) - Topic Update","Owner editou ListarTarefas para PM0_PA_Card_ListarTarefas","Owner (Manoel)","Opus 4.7","DONE","P0-CRITICAL","UNBLK-04","20min","2026-05-22 ~08:13","2026-05-22 ~08:15","-","drift_monitoring_20260522_0816/T+5min/","Concluido"
"DONE - AQ-08 Wave","UNBLK-06","Phase 5 (M2) - Verification","Verifier T+5min e T+1h ambos PASS","CODEX-PA","Codex 5.5","DONE","P0-CRITICAL","UNBLK-05","10min","2026-05-22 11:23","2026-05-22 12:23","-","drift_monitoring_20260522_0816/T+1h/aq08_post_remediation_reverify_report.json","Concluido"
"DONE - AQ-08 Wave","UNBLK-07","Phase 5 (M2) - Publish","Import e publish 3.15.1 hotfix","Owner (Manoel)","Gemini-PA","DONE","P0-CRITICAL","UNBLK-06","30min","2026-05-22 ~08:00","2026-05-22 08:15:52","-","Solution/PMO_v11_Tarefas_3_15_1_HOTFIX_TOPICS.zip; publish UTC 2026-05-22T11:15:52","Concluido"
"P0 NEXT","UNBLK-08","Phase 7 (M2) - AQ-09 Smoke","AQ-09 A1 failed; rerun runtime smoke after PM0 containment/remediation","Owner (Manoel)","Codex 5.5","BLOCKED_PM0","P0-CRITICAL","PM0-CONTAINMENT","2h","2026-05-22 13:30","","A1 failed","aq09_smoke_runbook_20260520/","Owner chooses rollback, fix-and-ship, or hybrid first"
"P0 NEXT","DRIFT-T+6H","Phase 5 (M2) - Drift Monitor","T+6h drift monitor capture (background process)","CODEX-PA","NONE","SCHEDULED","P0-CRITICAL","UNBLK-07","passivo","2026-05-22 14:23","2026-05-22 14:24","-","drift_monitoring_20260522_0816/T+6h/","Background PID 44496"
"P0 NEXT","UNBLK-09","Phase 7 (M2) - XPIA Verify","Validar evidencias AQ-09 com harness XPIA Section A","Opus 4.7 #2","CODEX-PA","WAITING","P0-CRITICAL","UNBLK-08","30min","2026-05-22 15:30","2026-05-22 16:00","Aguarda smoke","xpia_01_verify_20260520/","Auto-run apos AQ-09"
"P0 NEXT","UNBLK-10","Phase 9 (M2) - SHIP Decision","Decisao final SHIP/NO-SHIP/Rollback 3.16 release","Owner (Manoel)","Opus 4.7","BLOCKED","P0-CRITICAL","UNBLK-09","30min","2026-05-22 16:00","2026-05-22 16:30","Aguarda XPIA","FINAL_SHIP_REVIEW.md","Aprovar ou rollback"
"DONE - M2 Phases","M2-P1","Phase 1 - Discovery","Inventarios completos (dataverse, SP, cards, flows, routing, topics, test data, risks)","Codex 5.5","Multi","DONE","P1","NONE","4-6h","2026-05-20","2026-05-20","-","M2/phases/01_discovery/","Concluido"
